QB,Team,Year,TopQB_ADP
Aaron Rodgers,GNB,2013,10.26
Peyton Manning,DEN,2013,11.27
Drew Brees,NOR,2013,13.1
Tom Brady,NWE,2013,24.84
Cam Newton,CAR,2013,34.92
Matt Ryan,ATL,2013,35.19
Colin Kaepernick,SFO,2013,43.53
Matthew Stafford,DET,2013,46.52
Andrew Luck,IND,2013,51.45
Tony Romo,DAL,2013,59.04
Robert Griffin,WAS,2013,60.02
Russell Wilson,SEA,2013,60.17
Eli Manning,NYG,2013,94.88
Michael Vick,PHI,2013,101.74
Andy Dalton,CIN,2013,103.7
Ben Roethlisberger,PIT,2013,125.06
Joe Flacco,BAL,2013,127.5
Sam Bradford,STL,2013,129.27
Jay Cutler,CHI,2013,129.48
Matt Schaub,HOU,2013,132.7
Philip Rivers,SDG,2013,135.78
Carson Palmer,ARI,2013,142.4
Alex Smith,KAN,2013,150.14
EJ Manuel,BUF,2013,155.06
Josh Freeman,MIN,2013,173.61
Ryan Tannehill,MIA,2013,181.38
Brandon Weeden,CLE,2013,188.38
Jake Locker,TEN,2013,200.56
Terrelle Pryor,OAK,2013,200.62
Peyton Manning,DEN,2014,5.77
Aaron Rodgers,GNB,2014,11.83
Drew Brees,NOR,2014,12.26
Andrew Luck,IND,2014,22.17
Matthew Stafford,DET,2014,35.02
Nick Foles,PHI,2014,43.16
Tom Brady,NWE,2014,46.81
Matt Ryan,ATL,2014,50.38
Russell Wilson,SEA,2014,65.96
Cam Newton,CAR,2014,67.46
Colin Kaepernick,SFO,2014,72.39
Jay Cutler,CHI,2014,73.43
Kyle Orton,BUF,2014,78.33
Tony Romo,DAL,2014,83.07
Philip Rivers,SDG,2014,83.23
Robert Griffin,WAS,2014,90.31
Andy Dalton,CIN,2014,97.05
Ben Roethlisberger,PIT,2014,107.41
Carson Palmer,ARI,2014,122.03
Ryan Tannehill,MIA,2014,126.27
Eli Manning,NYG,2014,128.08
Joe Flacco,BAL,2014,128.7
Alex Smith,KAN,2014,129.52
Derek Carr,OAK,2014,141.0
Ryan Fitzpatrick,HOU,2014,145.6
Matt Cassel,MIN,2014,148.67
Josh McCown,TAM,2014,149.89
Johnny Manziel,CLE,2014,160.73
Geno Smith,NYJ,2014,175.4
Jake Locker,TEN,2014,185.83
Shaun Hill,STL,2014,192.0
Aaron Rodgers,GNB,2015,11.71
Tom Brady,NWE,2015,26.55
Russell Wilson,SEA,2015,35.24
Andrew Luck,IND,2015,38.05
Cam Newton,CAR,2015,39.68
Ben Roethlisberger,PIT,2015,48.14
Drew Brees,NOR,2015,51.74
Philip Rivers,SDG,2015,59.75
Andy Dalton,CIN,2015,71.45
Matt Ryan,ATL,2015,73.0
Carson Palmer,ARI,2015,74.24
Derek Carr,OAK,2015,92.44
Matthew Stafford,DET,2015,93.77
Peyton Manning,DEN,2015,102.94
Eli Manning,NYG,2015,108.78
Blake Bortles,JAX,2015,109.58
Ryan Tannehill,MIA,2015,111.5
Jameis Winston,TAM,2015,114.88
Marcus Mariota,TEN,2015,115.91
Teddy Bridgewater,MIN,2015,130.67
Tony Romo,DAL,2015,139.0
Tyrod Taylor,BUF,2015,140.25
Sam Bradford,PHI,2015,144.55
Joe Flacco,BAL,2015,162.4
Alex Smith,KAN,2015,162.5
Kirk Cousins,WAS,2015,167.33
Jay Cutler,CHI,2015,171.0
Colin Kaepernick,SFO,2015,176.43
Ryan Fitzpatrick,NYJ,2015,183.57
Nick Foles,STL,2015,194.83
Brian Hoyer,HOU,2015,212.0
Johnny Manziel,CLE,2015,244.0
Aaron Rodgers,GNB,2016,9.04
Cam Newton,CAR,2016,17.56
Tom Brady,NWE,2016,21.72
Ben Roethlisberger,PIT,2016,23.82
Russell Wilson,SEA,2016,24.2
Andrew Luck,IND,2016,33.59
Matt Ryan,ATL,2016,35.26
Dak Prescott,DAL,2016,40.9
Drew Brees,NOR,2016,44.62
Eli Manning,NYG,2016,45.03
Alex Smith,KAN,2016,53.21
Matthew Stafford,DET,2016,60.53
Derek Carr,OAK,2016,72.0
Carson Palmer,ARI,2016,72.64
Blake Bortles,JAX,2016,81.13
Matt Moore,MIA,2016,82.24
Jameis Winston,TAM,2016,90.26
Kirk Cousins,WAS,2016,92.32
Philip Rivers,SDG,2016,94.52
Brock Osweiler,HOU,2016,96.21
Marcus Mariota,TEN,2016,96.62
Tyrod Taylor,BUF,2016,108.43
Andy Dalton,CIN,2016,111.74
Carson Wentz,PHI,2016,138.0
Ryan Fitzpatrick,NYJ,2016,149.0
Joe Flacco,BAL,2016,156.43
Robert Griffin,CLE,2016,156.71
Sam Bradford,MIN,2016,162.91
Jay Cutler,CHI,2016,166.86
Jared Goff,LAR,2016,186.67
Trevor Siemian,DEN,2016,192.62
Colin Kaepernick,SFO,2016,198.5
Tom Brady,NWE,2017,6.85
Drew Brees,NOR,2017,10.47
Aaron Rodgers,GNB,2017,19.93
Ben Roethlisberger,PIT,2017,20.79
Jared Goff,LAR,2017,21.81
Case Keenum,MIN,2017,22.0
Matt Ryan,ATL,2017,29.55
Alex Smith,WAS,2017,33.24
Russell Wilson,SEA,2017,38.06
Cam Newton,CAR,2017,38.21
Blake Bortles,JAX,2017,41.19
Nick Foles,PHI,2017,44.98
Derek Carr,OAK,2017,50.1
Dak Prescott,DAL,2017,58.98
Marcus Mariota,TEN,2017,61.22
Jameis Winston,TAM,2017,71.02
Matthew Stafford,DET,2017,72.15
Deshaun Watson,HOU,2017,72.65
Tyrod Taylor,BUF,2017,82.26
Philip Rivers,LAC,2017,85.84
Andrew Luck,IND,2017,97.97
Eli Manning,NYG,2017,107.03
Carson Palmer,ARI,2017,117.86
Andy Dalton,CIN,2017,119.71
Aaron Rodgers,GNB,2018,28.46
Tom Brady,NWE,2018,43.62
Ryan Fitzpatrick,TAM,2018,45.5
Russell Wilson,SEA,2018,46.38
Cam Newton,CAR,2018,50.08
Deshaun Watson,HOU,2018,50.36
Drew Brees,NOR,2018,56.93
Philip Rivers,LAC,2018,71.77
Carson Wentz,PHI,2018,80.33
Andrew Luck,IND,2018,82.92
Ben Roethlisberger,PIT,2018,84.0
Matthew Stafford,DET,2018,84.08
Kirk Cousins,MIN,2018,91.0
Christian Hackenberg,FA,2018,92.0
Patrick Mahomes,KAN,2018,92.54
Jared Goff,LAR,2018,97.5
Matt Ryan,ATL,2018,99.08
Jimmy Garoppolo,SFO,2018,108.0
Dak Prescott,DAL,2018,110.33
Alex Smith,WAS,2018,112.1
Marcus Mariota,TEN,2018,117.0
Josh Rosen,ARI,2018,122.0
Blake Bortles,JAX,2018,132.5
Derek Carr,OAK,2018,133.29
Eli Manning,NYG,2018,133.5
Andy Dalton,CIN,2018,144.0
Case Keenum,DEN,2018,148.25
Ryan Tannehill,MIA,2018,156.5
Mitchell Trubisky,CHI,2018,160.57
Joe Flacco,BAL,2018,173.0
Sam Darnold,NYJ,2018,173.0
Tyrod Taylor,CLE,2018,177.0
Josh Allen,BUF,2018,213.0
Patrick Mahomes,KAN,2019,9.42
Deshaun Watson,HOU,2019,19.45
Aaron Rodgers,GNB,2019,31.94
Matt Ryan,ATL,2019,40.45
Baker Mayfield,CLE,2019,43.57
Carson Wentz,PHI,2019,49.17
Drew Brees,NOR,2019,53.08
Russell Wilson,SEA,2019,54.95
Jared Goff,LAR,2019,60.61
Tom Brady,NWE,2019,63.38
Lamar Jackson,BAL,2019,69.67
Dak Prescott,DAL,2019,70.55
Cam Newton,CAR,2019,88.3
Kyler Murray,ARI,2019,89.73
Jameis Winston,TAM,2019,91.0
Philip Rivers,LAC,2019,91.55
Kirk Cousins,MIN,2019,98.72
Josh Allen,BUF,2019,110.54
Ben Roethlisberger,PIT,2019,111.7
Gardner Minshew,JAX,2019,112.0
Jacoby Brissett,IND,2019,117.82
Matthew Stafford,DET,2019,127.77
Jimmy Garoppolo,SFO,2019,132.5
Eli Manning,NYG,2019,142.33
Marcus Mariota,TEN,2019,143.5
Derek Carr,OAK,2019,150.14
Mitchell Trubisky,CHI,2019,172.4
Sam Darnold,NYJ,2019,183.2
Patrick Mahomes,KAN,2020,5.83
Lamar Jackson,BAL,2020,11.11
Dak Prescott,DAL,2020,25.18
Deshaun Watson,HOU,2020,25.61
Russell Wilson,SEA,2020,28.42
Kyler Murray,ARI,2020,48.56
Drew Brees,NOR,2020,53.72
Tom Brady,TAM,2020,59.0
Aaron Rodgers,GNB,2020,60.06
Matt Ryan,ATL,2020,61.11
Josh Allen,BUF,2020,65.71
Carson Wentz,PHI,2020,74.69
Cam Newton,NWE,2020,87.0
Matthew Stafford,LAR,2020,91.56
Ben Roethlisberger,PIT,2020,96.59
Daniel Jones,NYG,2020,100.5
Jared Goff,DET,2020,103.93
Baker Mayfield,CLE,2020,104.28
Philip Rivers,FA,2020,113.27
Jimmy Garoppolo,SFO,2020,115.85
Mitchell Trubisky,CHI,2020,118.5
Ryan Tannehill,TEN,2020,119.12
Kirk Cousins,MIN,2020,119.56
Joe Burrow,CIN,2020,120.08
Drew Lock,DEN,2020,132.0
Derek Carr,LVR,2020,137.25
Gardner Minshew,JAX,2020,139.12
Teddy Bridgewater,CAR,2020,145.5
Sam Darnold,NYJ,2020,157.2
Tyrod Taylor,LAC,2020,159.67
Ryan Fitzpatrick,MIA,2020,177.0
Patrick Mahomes,KAN,2021,13.4
Josh Allen,BUF,2021,17.18
Lamar Jackson,BAL,2021,26.3
Tom Brady,TAM,2021,26.97
Kyler Murray,ARI,2021,27.03
Dak Prescott,DAL,2021,29.63
Aaron Rodgers,GNB,2021,31.32
Russell Wilson,SEA,2021,41.72
Justin Herbert,LAC,2021,45.9
Matthew Stafford,LAR,2021,60.0
Ryan Tannehill,TEN,2021,65.89
Jalen Hurts,PHI,2021,71.0
Joe Burrow,CIN,2021,79.84
Kirk Cousins,MIN,2021,92.5
Jameis Winston,NOR,2021,96.23
Trevor Lawrence,JAX,2021,103.65
Matt Ryan,ATL,2021,105.24
Baker Mayfield,CLE,2021,106.92
Ben Roethlisberger,PIT,2021,108.28
Derek Carr,LVR,2021,109.1
Justin Fields,CHI,2021,111.5
Teddy Bridgewater,DEN,2021,129.67
Zach Wilson,NYJ,2021,129.83
Ryan Fitzpatrick,WAS,2021,130.45
Carson Wentz,IND,2021,131.64
Tua Tagovailoa,MIA,2021,131.94
Trey Lance,SFO,2021,132.0
Tyrod Taylor,HOU,2021,133.0
Mac Jones,NWE,2021,135.29
Jared Goff,DET,2021,142.29
Sam Darnold,CAR,2021,144.1
Daniel Jones,NYG,2021,148.0
Josh Allen,BUF,2022,10.56
Patrick Mahomes,KAN,2022,20.54
Justin Herbert,LAC,2022,23.77
Lamar Jackson,BAL,2022,34.5
Joe Burrow,CIN,2022,35.96
Jalen Hurts,PHI,2022,41.8
Kyler Murray,ARI,2022,43.85
Tom Brady,TAM,2022,55.62
Dak Prescott,DAL,2022,56.09
Russell Wilson,DEN,2022,58.04
Aaron Rodgers,GNB,2022,64.04
Derek Carr,LVR,2022,73.44
Kirk Cousins,MIN,2022,80.8
Matthew Stafford,LAR,2022,81.61
Trey Lance,SFO,2022,92.68
Matt Ryan,IND,2022,111.33
Justin Fields,CHI,2022,113.08
Jameis Winston,NOR,2022,113.26
Tua Tagovailoa,MIA,2022,116.0
Trevor Lawrence,JAX,2022,122.8
Ryan Tannehill,TEN,2022,124.06
Mac Jones,NWE,2022,133.67
Daniel Jones,NYG,2022,135.57
Deshaun Watson,CLE,2022,137.11
Davis Mills,HOU,2022,143.17
Zach Wilson,NYJ,2022,151.67
Carson Wentz,WAS,2022,152.5
Geno Smith,SEA,2022,160.75
Jared Goff,DET,2022,161.2
Mitchell Trubisky,PIT,2022,173.25
Marcus Mariota,ATL,2022,179.67
Sam Darnold,CAR,2022,294.5
